"Class","SubClass","Protocol","Usage","ClassDescription","SubClassDescription","ProtocolDescription"
"Class_E0","SubClass_02","Prot_03","Interface","Wireless Controller","Wireless USB Wire Adapter","Device Wire Adapter Isochronous Interface"
"Class_EF","SubClass_01","Prot_01","Both","Miscellaneous","","Active Sync device"
"Class_EF","SubClass_01","Prot_02","Both","Miscellaneous","","Palm Sync"
"Class_EF","SubClass_02","Prot_01","Both","Miscellaneous","","Interface Association Descriptor"
"Class_EF","SubClass_02","Prot_02","Both","Miscellaneous","","Wire Adapter Multifunction Peripheral programming interface"
"Class_EF","SubClass_03","Prot_01","Both","Miscellaneous","","Cable Based Association Framework"
"Class_EF","SubClass_04","Prot_01","Both","Miscellaneous","","RNDIS over Ethernet"
"Class_EF","SubClass_04","Prot_02","Both","Miscellaneous","","RNDIS over WiFi"
"Class_EF","SubClass_04","Prot_03","Both","Miscellaneous","","RNDIS over WiMAX"
"Class_EF","SubClass_04","Prot_04","Both","Miscellaneous","","RNDIS over WWAN"
"Class_EF","SubClass_04","Prot_05","Both","Miscellaneous","","RNDIS for Raw IPv4"
"Class_EF","SubClass_04","Prot_06","Both","Miscellaneous","","RNDIS for Raw IPv6"
"Class_EF","SubClass_04","Prot_07","Both","Miscellaneous","","RNDIS for GPRS"
"Class_EF","SubClass_05","Prot_00","Both","Miscellaneous","","USB3 Vision Control Interface"
"Class_EF","SubClass_05","Prot_01","Both","Miscellaneous","","USB3 Vision Event Interface"
"Class_EF","SubClass_05","Prot_02","Both","Miscellaneous","","USB3 Vision Streaming Interface"
"Class_FE","SubClass_01","Prot_01","Interface","Application Specific","","Device Firmware Upgrade"
"Class_FE","SubClass_02","Prot_00","Interface","Application Specific","","IRDA Bridge device"
"Class_FE","SubClass_03","Prot_00","Interface","Application Specific","","USB Test and Measurement Device"
"Class_FE","SubClass_03","Prot_01","Interface","Application Specific","","USB Test and Measurement Device conforming to the USBTMC USB488 Subclass Specification"
"Class_FF","SubClass_FF","","Both","Vendor Specific","Vendor Specific","Vendor Specific"
