"Mfr","Model","MfrName","ModelName"
"VID_03eb","PID_7603","Atmel Corp.","D-Link DWL-120 802.11b Wireless Adapter [Atmel at76c503a]"
"VID_03eb","PID_7604","Atmel Corp.","at76c503a 802.11b Adapter"
"VID_03eb","PID_7605","Atmel Corp.","at76c503a 802.11b Adapter"
"VID_03eb","PID_7606","Atmel Corp.","at76c505 802.11b Adapter"
"VID_03eb","PID_7611","Atmel Corp.","at76c510 rfmd2948 802.11b Access Point"
"VID_03eb","PID_7613","Atmel Corp.","WL-1130 USB"
"VID_03eb","PID_7614","Atmel Corp.","AT76c505a Wireless Adapter"
"VID_03eb","PID_7615","Atmel Corp.","AT76C505AMX Wireless Adapter"
"VID_03eb","PID_7617","Atmel Corp.","AT76C505AS Wireless Adapter"
"VID_03eb","PID_7800","Atmel Corp.","Mini Album"
"VID_03eb","PID_ff07","Atmel Corp.","Tux Droid fish dongle"
"VID_03ec","","Iwatsu America, Inc.",""
"VID_03ed","","Mitel Corp.",""
"VID_03ee","","Mitsumi",""
"VID_03ee","PID_0000","Mitsumi","CD-R/RW Drive"
"VID_03ee","PID_2501","Mitsumi","eHome Infrared Receiver"
"VID_03ee","PID_2502","Mitsumi","eHome Infrared Receiver"
"VID_03ee","PID_5609","Mitsumi","Japanese Keyboard"
"VID_03ee","PID_641f","Mitsumi","WIF-0402C Bluetooth Adapter"
"VID_03ee","PID_6438","Mitsumi","Bluetooth Device"
"VID_03ee","PID_6440","Mitsumi","WML-C52APR Bluetooth Adapter"
"VID_03ee","PID_6901","Mitsumi","SmartDisk FDD"
"VID_03ee","PID_6902","Mitsumi","Floppy Disk Drive"
"VID_03ee","PID_7500","Mitsumi","CD-R/RW"
"VID_03ee","PID_ffff","Mitsumi","Dongle with BlueCore in DFU mode"
"VID_03f0","","Hewlett-Packard",""
"VID_03f0","PID_0004","Hewlett-Packard","DeskJet 895c"
"VID_03f0","PID_0011","Hewlett-Packard","OfficeJet G55"
"VID_03f0","PID_0012","Hewlett-Packard","DeskJet 1125C Printer Port"
"VID_03f0","PID_0024","Hewlett-Packard","KU-0316 Keyboard"
"VID_03f0","PID_002a","Hewlett-Packard","LaserJet P1102"
"VID_03f0","PID_0101","Hewlett-Packard","ScanJet 4100c"
"VID_03f0","PID_0102","Hewlett-Packard","PhotoSmart S20"
"VID_03f0","PID_0104","Hewlett-Packard","DeskJet 880c/970c"
"VID_03f0","PID_0105","Hewlett-Packard","ScanJet 4200c"
"VID_03f0","PID_0107","Hewlett-Packard","CD-Writer Plus"
"VID_03f0","PID_010c","Hewlett-Packard","Multimedia Keyboard Hub"
"VID_03f0","PID_0111","Hewlett-Packard","G55xi Printer/Scanner/Copier"
"VID_03f0","PID_0117","Hewlett-Packard","LaserJet 3200"
"VID_03f0","PID_011c","Hewlett-Packard","hn210w 802.11b Adapter"
"VID_03f0","PID_011d","Hewlett-Packard","Bluetooth 1.2 Interface [Broadcom BCM2035]"
"VID_03f0","PID_0121","Hewlett-Packard","HP49g+ Calculator"
"VID_03f0","PID_0122","Hewlett-Packard","HID Internet Keyboard"
"VID_03f0","PID_0201","Hewlett-Packard","ScanJet 6200c"
"VID_03f0","PID_0202","Hewlett-Packard","PhotoSmart S20"
"VID_03f0","PID_0204","Hewlett-Packard","DeskJet 815c"
"VID_03f0","PID_0205","Hewlett-Packard","ScanJet 3300c"
"VID_03f0","PID_0207","Hewlett-Packard","CD-Writer Plus 8200e"
"VID_03f0","PID_020c","Hewlett-Packard","Multimedia Keyboard"
"VID_03f0","PID_0211","Hewlett-Packard","OfficeJet G85"
"VID_03f0","PID_0212","Hewlett-Packard","DeskJet 1220C"
"VID_03f0","PID_0217","Hewlett-Packard","LaserJet 2200"
"VID_03f0","PID_0218","Hewlett-Packard","APOLLO P2500/2600"
"VID_03f0","PID_0304","Hewlett-Packard","DeskJet 810c/812c"
"VID_03f0","PID_0305","Hewlett-Packard","ScanJet 4300c"
"VID_03f0","PID_0307","Hewlett-Packard","CD-Writer+ CD-4e"
"VID_03f0","PID_0311","Hewlett-Packard","OfficeJet G85xi"
"VID_03f0","PID_0312","Hewlett-Packard","Color Inkjet CP1700"
"VID_03f0","PID_0314","Hewlett-Packard","designjet 30/130 series"
"VID_03f0","PID_0317","Hewlett-Packard","LaserJet 1200"
"VID_03f0","PID_0324","Hewlett-Packard","SK-2885 keyboard"
"VID_03f0","PID_0401","Hewlett-Packard","ScanJet 5200c"
"VID_03f0","PID_0404","Hewlett-Packard","DeskJet 830c/832c"
"VID_03f0","PID_0405","Hewlett-Packard","ScanJet 3400cse"
"VID_03f0","PID_0411","Hewlett-Packard","OfficeJet G95"
"VID_03f0","PID_0412","Hewlett-Packard","Printing Support"
"VID_03f0","PID_0417","Hewlett-Packard","LaserJet 1200 series"
"VID_03f0","PID_0423","Hewlett-Packard","HS-COMBO Cardreader"
"VID_03f0","PID_0504","Hewlett-Packard","DeskJet 885c"
"VID_03f0","PID_0505","Hewlett-Packard","ScanJet 2100c"
"VID_03f0","PID_0507","Hewlett-Packard","DVD+RW"
"VID_03f0","PID_050c","Hewlett-Packard","5219 Wireless Keyboard"
"VID_03f0","PID_0511","Hewlett-Packard","OfficeJet K60"
"VID_03f0","PID_0512","Hewlett-Packard","DeckJet 450"
"VID_03f0","PID_0517","Hewlett-Packard","LaserJet 1000"
"VID_03f0","PID_051d","Hewlett-Packard","Bluetooth Interface"
"VID_03f0","PID_0601","Hewlett-Packard","ScanJet 6300c"
"VID_03f0","PID_0604","Hewlett-Packard","DeskJet 840c"
"VID_03f0","PID_0605","Hewlett-Packard","ScanJet 2200c"
"VID_03f0","PID_0611","Hewlett-Packard","OfficeJet K60xi"
"VID_03f0","PID_0612","Hewlett-Packard","business inkjet 3000"
"VID_03f0","PID_0624","Hewlett-Packard","Bluetooth Dongle"
"VID_03f0","PID_0701","Hewlett-Packard","ScanJet 5300c/5370c"
"VID_03f0","PID_0704","Hewlett-Packard","DeskJet 825c"
"VID_03f0","PID_0705","Hewlett-Packard","ScanJet 4400c"
"VID_03f0","PID_0711","Hewlett-Packard","OfficeJet K80"
"VID_03f0","PID_0712","Hewlett-Packard","DeskJet 1180c"
"VID_03f0","PID_0714","Hewlett-Packard","Printing Support"
"VID_03f0","PID_0801","Hewlett-Packard","ScanJet 7400c"
"VID_03f0","PID_0804","Hewlett-Packard","DeskJet 816c"
"VID_03f0","PID_0805","Hewlett-Packard","HP4470C"
"VID_03f0","PID_0811","Hewlett-Packard","OfficeJet K80xi"
"VID_03f0","PID_0817","Hewlett-Packard","LaserJet 3300"
"VID_03f0","PID_0901","Hewlett-Packard","ScanJet 2300c"
"VID_03f0","PID_0904","Hewlett-Packard","DeskJet 845c"
"VID_03f0","PID_0912","Hewlett-Packard","Printing Support"
"VID_03f0","PID_0917","Hewlett-Packard","LaserJet 3330"
"VID_03f0","PID_0924","Hewlett-Packard","Modular Smartcard Keyboard"
"VID_03f0","PID_0a01","Hewlett-Packard","ScanJet 2400c"
"VID_03f0","PID_0a17","Hewlett-Packard","color LaserJet 3700"
"VID_03f0","PID_0b01","Hewlett-Packard","ScanJet 82x0C"
"VID_03f0","PID_0b0c","Hewlett-Packard","Wireless Keyboard and Optical Mouse receiver"
"VID_03f0","PID_0b17","Hewlett-Packard","LaserJet 2300d"
"VID_03f0","PID_0c17","Hewlett-Packard","LaserJet 1010"
"VID_03f0","PID_0c24","Hewlett-Packard","Bluetooth Dongle"
"VID_03f0","PID_0d12","Hewlett-Packard","OfficeJet 9100 series"
"VID_03f0","PID_0d17","Hewlett-Packard","LaserJet 1012"
"VID_03f0","PID_0e17","Hewlett-Packard","LaserJet 1015"
"VID_03f0","PID_0f0c","Hewlett-Packard","Wireless Keyboard and Optical Mouse receiver"
"VID_03f0","PID_0f11","Hewlett-Packard","OfficeJet V40"
"VID_03f0","PID_0f12","Hewlett-Packard","Printing Support"
"VID_03f0","PID_0f17","Hewlett-Packard","LaserJet 1150"
"VID_03f0","PID_1001","Hewlett-Packard","Photo Scanner 1000"
"VID_03f0","PID_1002","Hewlett-Packard","PhotoSmart 140 series"
"VID_03f0","PID_1004","Hewlett-Packard","DeskJet 970c/970cse"
"VID_03f0","PID_1005","Hewlett-Packard","ScanJet 5400c"
"VID_03f0","PID_1011","Hewlett-Packard","OfficeJet V40xi"
"VID_03f0","PID_1016","Hewlett-Packard","Jornada 548 / iPAQ HW6515 Pocket PC"
"VID_03f0","PID_1017","Hewlett-Packard","LaserJet 1300"
"VID_03f0","PID_1024","Hewlett-Packard","Smart Card Keyboard"
"VID_03f0","PID_1027","Hewlett-Packard","Virtual keyboard and mouse"
"VID_03f0","PID_1102","Hewlett-Packard","PhotoSmart 240 series"
"VID_03f0","PID_1104","Hewlett-Packard","DeskJet 959c"
"VID_03f0","PID_1105","Hewlett-Packard","ScanJet 5470c/5490c"
"VID_03f0","PID_1111","Hewlett-Packard","OfficeJet v60"
"VID_03f0","PID_1116","Hewlett-Packard","Jornada 568 Pocket PC"
"VID_03f0","PID_1117","Hewlett-Packard","LaserJet 1300n"
"VID_03f0","PID_1151","Hewlett-Packard","PSC-750xi Printer/Scanner/Copier"
"VID_03f0","PID_1202","Hewlett-Packard","PhotoSmart 320 series"
"VID_03f0","PID_1204","Hewlett-Packard","DeskJet 930c"
"VID_03f0","PID_1205","Hewlett-Packard","ScanJet 4500C/5550C"
"VID_03f0","PID_1211","Hewlett-Packard","OfficeJet v60xi"
"VID_03f0","PID_1217","Hewlett-Packard","LaserJet 2300L"
"VID_03f0","PID_1302","Hewlett-Packard","PhotoSmart 370 series"
"VID_03f0","PID_1305","Hewlett-Packard","ScanJet 4570c"
"VID_03f0","PID_1311","Hewlett-Packard","OfficeJet V30"
"VID_03f0","PID_1312","Hewlett-Packard","DeskJet 460"
"VID_03f0","PID_1317","Hewlett-Packard","LaserJet 1005"
"VID_03f0","PID_1327","Hewlett-Packard","iLO Virtual Hub"
"VID_03f0","PID_1405","Hewlett-Packard","ScanJet 3670"
"VID_03f0","PID_1411","Hewlett-Packard","PSC 750"
"VID_03f0","PID_1424","Hewlett-Packard","f2105 Monitor Hub"
"VID_03f0","PID_1502","Hewlett-Packard","PhotoSmart 420 series"
"VID_03f0","PID_1504","Hewlett-Packard","DeskJet 920c"
"VID_03f0","PID_150c","Hewlett-Packard","Mood Lighting (Microchip Technology Inc.)"
"VID_03f0","PID_1511","Hewlett-Packard","PSC 750xi"
"VID_03f0","PID_1512","Hewlett-Packard","Printing Support"
"VID_03f0","PID_1517","Hewlett-Packard","color LaserJet 3500"
"VID_03f0","PID_1524","Hewlett-Packard","Smart Card Keyboard - KR"
"VID_03f0","PID_1602","Hewlett-Packard","PhotoSmart 330 series"
"VID_03f0","PID_1604","Hewlett-Packard","DeskJet 940c"
"VID_03f0","PID_1605","Hewlett-Packard","ScanJet 5530C PhotoSmart"
"VID_03f0","PID_1611","Hewlett-Packard","psc 780"
"VID_03f0","PID_1617","Hewlett-Packard","LaserJet 3015"
"VID_03f0","PID_161d","Hewlett-Packard","Wireless Rechargeable Optical Mouse (HID)"
"VID_03f0","PID_1624","Hewlett-Packard","Smart Card Keyboard - JP"
"VID_03f0","PID_1702","Hewlett-Packard","PhotoSmart 380 series"
"VID_03f0","PID_1704","Hewlett-Packard","DeskJet 948C"
"VID_03f0","PID_1705","Hewlett-Packard","ScanJet 5590"
"VID_03f0","PID_1711","Hewlett-Packard","psc 780xi"
"VID_03f0","PID_1712","Hewlett-Packard","Printing Support"
"VID_03f0","PID_1717","Hewlett-Packard","LaserJet 3020"
"VID_03f0","PID_171d","Hewlett-Packard","Bluetooth 2.0 Interface [Broadcom BCM2045]"
"VID_03f0","PID_1801","Hewlett-Packard","Inkjet P-2000U"
"VID_03f0","PID_1802","Hewlett-Packard","PhotoSmart 470 series"
"VID_03f0","PID_1804","Hewlett-Packard","DeskJet 916C"
"VID_03f0","PID_1805","Hewlett-Packard","ScanJet 7650"
"VID_03f0","PID_1811","Hewlett-Packard","PSC 720"
"VID_03f0","PID_1812","Hewlett-Packard","OfficeJet Pro K550"
"VID_03f0","PID_1817","Hewlett-Packard","LaserJet 3030"
"VID_03f0","PID_181d","Hewlett-Packard","Bluetooth 2.0 Interface"
"VID_03f0","PID_1902","Hewlett-Packard","PhotoSmart A430 series"
"VID_03f0","PID_1904","Hewlett-Packard","DeskJet 3820"
"VID_03f0","PID_1911","Hewlett-Packard","OfficeJet V45"
"VID_03f0","PID_1917","Hewlett-Packard","LaserJet 3380"
"VID_03f0","PID_1a02","Hewlett-Packard","PhotoSmart A510 series"
"VID_03f0","PID_1a11","Hewlett-Packard","OfficeJet 5100 series"
"VID_03f0","PID_1a17","Hewlett-Packard","color LaserJet 4650"
"VID_03f0","PID_1b02","Hewlett-Packard","PhotoSmart A610 series"
"VID_03f0","PID_1b04","Hewlett-Packard","DeskJet 3810"
"VID_03f0","PID_1b05","Hewlett-Packard","ScanJet 4850C/4890C"
"VID_03f0","PID_1b07","Hewlett-Packard","Premium Starter Webcam"
"VID_03f0","PID_1c02","Hewlett-Packard","PhotoSmart A710 series"
"VID_03f0","PID_1c17","Hewlett-Packard","Color LaserJet 2550l"
"VID_03f0","PID_1d02","Hewlett-Packard","PhotoSmart A310 series"
"VID_03f0","PID_1d17","Hewlett-Packard","LaserJet 1320"
"VID_03f0","PID_1e02","Hewlett-Packard","PhotoSmart A320 Printer series"
"VID_03f0","PID_1e11","Hewlett-Packard","PSC-950"
"VID_03f0","PID_1e17","Hewlett-Packard","LaserJet 1160 series"
"VID_03f0","PID_1f02","Hewlett-Packard","PhotoSmart A440 Printer series"
"VID_03f0","PID_1f11","Hewlett-Packard","PSC 920"
"VID_03f0","PID_1f12","Hewlett-Packard","OfficeJet Pro K5300"
"VID_03f0","PID_1f17","Hewlett-Packard","color LaserJet 5550"
"VID_03f0","PID_1f1d","Hewlett-Packard","un2400 Gobi Wireless Modem"
"VID_03f0","PID_2001","Hewlett-Packard","Floppy"
"VID_03f0","PID_2002","Hewlett-Packard","Hub"
"VID_03f0","PID_2004","Hewlett-Packard","DeskJet 640c"
"VID_03f0","PID_2005","Hewlett-Packard","ScanJet 3570c"
"VID_03f0","PID_2012","Hewlett-Packard","OfficeJet Pro K5400"
"VID_03f0","PID_201d","Hewlett-Packard","un2400 Gobi Wireless Modem (QDL mode)"
"VID_03f0","PID_2102","Hewlett-Packard","PhotoSmart 7345"
"VID_03f0","PID_2104","Hewlett-Packard","DeskJet 630c"
"VID_03f0","PID_2112","Hewlett-Packard","OfficeJet Pro L7500"
"VID_03f0","PID_211d","Hewlett-Packard","Sierra MC5725 [ev2210]"
"VID_03f0","PID_2202","Hewlett-Packard","PhotoSmart 7600 series"
"VID_03f0","PID_2205","Hewlett-Packard","ScanJet 3500c"
"VID_03f0","PID_2212","Hewlett-Packard","OfficeJet Pro L7600"
"VID_03f0","PID_2217","Hewlett-Packard","color LaserJet 9500 MFP"
"VID_03f0","PID_2302","Hewlett-Packard","PhotoSmart 7600 series"
"VID_03f0","PID_2304","Hewlett-Packard","DeskJet 656c"
"VID_03f0","PID_2305","Hewlett-Packard","ScanJet 3970c"
"VID_03f0","PID_2311","Hewlett-Packard","OfficeJet d series"
"VID_03f0","PID_2312","Hewlett-Packard","OfficeJet Pro L7700"
"VID_03f0","PID_2317","Hewlett-Packard","LaserJet 4350"
"VID_03f0","PID_231d","Hewlett-Packard","4 GB Flash Drive"
"VID_03f0","PID_2402","Hewlett-Packard","PhotoSmart 7700 series"
"VID_03f0","PID_2404","Hewlett-Packard","Deskjet F2280 series"
"VID_03f0","PID_2405","Hewlett-Packard","ScanJet 4070 PhotoSmart"
"VID_03f0","PID_2417","Hewlett-Packard","LaserJet 4250"
"VID_03f0","PID_241d","Hewlett-Packard","Gobi 2000 Wireless Modem (QDL mode)"
"VID_03f0","PID_2424","Hewlett-Packard","LP1965 19 Monitor Hub"
"VID_03f0","PID_2502","Hewlett-Packard","PhotoSmart 7700 series"
"VID_03f0","PID_2504","Hewlett-Packard","DeskJet F4200 series"
"VID_03f0","PID_2505","Hewlett-Packard","ScanJet 3770"
"VID_03f0","PID_2512","Hewlett-Packard","OfficeJet Pro L7300"
"VID_03f0","PID_2517","Hewlett-Packard","LaserJet 2410"
"VID_03f0","PID_251d","Hewlett-Packard","Gobi 2000 Wireless Modem"
"VID_03f0","PID_2524","Hewlett-Packard","LP3065 30 Monitor Hub"
"VID_03f0","PID_2602","Hewlett-Packard","PhotoSmart A520 series"
"VID_03f0","PID_2605","Hewlett-Packard","ScanJet 3800c"
"VID_03f0","PID_2611","Hewlett-Packard","OfficeJet 7100 series"
"VID_03f0","PID_2617","Hewlett-Packard","Color LaserJet 2820 series"
"VID_03f0","PID_2624","Hewlett-Packard","Pole Display (HP522 2 x 20 Line Display)"
"VID_03f0","PID_2702","Hewlett-Packard","PhotoSmart A620 series"
"VID_03f0","PID_2704","Hewlett-Packard","DeskJet 915"
"VID_03f0","PID_2717","Hewlett-Packard","Color LaserJet 2830"
"VID_03f0","PID_2811","Hewlett-Packard","PSC-2100"
"VID_03f0","PID_2817","Hewlett-Packard","Color LaserJet 2840"
"VID_03f0","PID_2902","Hewlett-Packard","PhotoSmart A820 series"
"VID_03f0","PID_2911","Hewlett-Packard","PSC 2200"
"VID_03f0","PID_2917","Hewlett-Packard","LaserJet 2420"
"VID_03f0","PID_2a11","Hewlett-Packard","PSC 2150 series"
"VID_03f0","PID_2a17","Hewlett-Packard","LaserJet 2430"
"VID_03f0","PID_2b11","Hewlett-Packard","PSC 2170 series"
"VID_03f0","PID_2b17","Hewlett-Packard","LaserJet 1020"
"VID_03f0","PID_2c12","Hewlett-Packard","Officejet J4680"
"VID_03f0","PID_2c17","Hewlett-Packard","LaserJet 1022"
"VID_03f0","PID_2c24","Hewlett-Packard","Logitech M-UAL-96 Mouse"
"VID_03f0","PID_2d05","Hewlett-Packard","Scanjet 7000"
"VID_03f0","PID_2d11","Hewlett-Packard","OfficeJet 6110"
"VID_03f0","PID_2d17","Hewlett-Packard","Printing Support"
"VID_03f0","PID_2e11","Hewlett-Packard","PSC 1000"
"VID_03f0","PID_2e17","Hewlett-Packard","LaserJet 2600n"
"VID_03f0","PID_2e24","Hewlett-Packard","LP2275w Monitor Hub"
"VID_03f0","PID_2f11","Hewlett-Packard","PSC 1200"
"VID_03f0","PID_2f17","Hewlett-Packard","EWS 2605dn"
"VID_03f0","PID_2f24","Hewlett-Packard","LP2475w Monitor Hub"
"VID_03f0","PID_3002","Hewlett-Packard","PhotoSmart P1000"
"VID_03f0","PID_3004","Hewlett-Packard","DeskJet 980c"
"VID_03f0","PID_3005","Hewlett-Packard","ScanJet 4670v"
"VID_03f0","PID_3011","Hewlett-Packard","PSC 1100 series"
"VID_03f0","PID_3017","Hewlett-Packard","Printing Support"
"VID_03f0","PID_3102","Hewlett-Packard","PhotoSmart P1100 Printer w/ Card Reader"
"VID_03f0","PID_3104","Hewlett-Packard","DeskJet 960c"
"VID_03f0","PID_3111","Hewlett-Packard","OfficeJet 4100 series"
"VID_03f0","PID_3117","Hewlett-Packard","EWS 2605dtn"
"VID_03f0","PID_311d","Hewlett-Packard","Atheros AR9285 Malbec Bluetooth Adapter"
"VID_03f0","PID_3202","Hewlett-Packard","PhotoSmart 1215"
"VID_03f0","PID_3207","Hewlett-Packard","4 GB flash drive"
"VID_03f0","PID_3211","Hewlett-Packard","OfficeJet 4105 series"
"VID_03f0","PID_3217","Hewlett-Packard","LaserJet 3050"
"VID_03f0","PID_3302","Hewlett-Packard","PhotoSmart 1218"
"VID_03f0","PID_3304","Hewlett-Packard","DeskJet 990c"
"VID_03f0","PID_3312","Hewlett-Packard","OfficeJet J6410"
"VID_03f0","PID_3317","Hewlett-Packard","LaserJet 3052"
"VID_03f0","PID_3402","Hewlett-Packard","PhotoSmart 1115"
"VID_03f0","PID_3404","Hewlett-Packard","DeskJet 6122"
"VID_03f0","PID_3417","Hewlett-Packard","LaserJet 3055"
"VID_03f0","PID_3502","Hewlett-Packard","PhotoSmart 230"
"VID_03f0","PID_3504","Hewlett-Packard","DeskJet 6127c"
"VID_03f0","PID_3511","Hewlett-Packard","PSC 2300"
"VID_03f0","PID_3517","Hewlett-Packard","LaserJet 3390"
"VID_03f0","PID_3602","Hewlett-Packard","PhotoSmart 1315"
"VID_03f0","PID_3611","Hewlett-Packard","PSC 2410 PhotoSmart"
"VID_03f0","PID_3617","Hewlett-Packard","Color LaserJet 2605"
"VID_03f0","PID_3711","Hewlett-Packard","PSC 2500"
"VID_03f0","PID_3717","Hewlett-Packard","EWS UPD"
